slug,brand,model,displayName,reference,referenceStatus,year,condition,material,character,shortDescription,curiosityQuote,history,status,price,imageCount,sourceUrls,verificationNote
omega-de-ville-prestige,Omega,De Ville Prestige Co-Axial Chronometer,Omega De Ville Prestige Co-Axial Chronometer,424.53.40.20.02.001 / wariant do potwierdzenia,rozpoznanie modelu wysokiej pewno?ci; materia? i referencja wymagaj? potwierdzenia,"ok. lata 2010., do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","z?oto, jasna tarcza, pasek aligatorowy",klasyczny zegarek garniturowy,"Omega De Ville Prestige Co-Axial Chronometer to spokojny, formalny zegarek w z?otej kopercie, z jasn? tarcz? i dat? na godzinie 3.","De Ville Prestige nie pr?buje dominowa? stroju; jego si?? jest proporcja, symetria i cichy certyfikat chronometru.","Linia De Ville oddzieli?a si? od Seamastera w latach 60. jako bardziej elegancka ga??? Omegi. Prestige zachowuje t? filozofi?: klasyczna okr?g?a koperta, sk?rzany pasek i oszcz?dna tarcza. Wersje Co-Axial korzystaj? z mechanizmu z wychwytem Omegi, kt?ry sta? si? jednym z technologicznych znak?w rozpoznawczych marki.",dost?pny,cena na zapytanie,3,https://www.omegawatches.com/watch-omega-de-ville-prestige-co-axial-chronometer-39-5-mm-42453402002001 | https://www.omegawatches.com/en-us/watch-omega-de-ville-prestige-co-axial-chronometer-39-5-mm-42453402002001,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
patek-philippe-annual-calendar-5396,Patek Philippe,Annual Calendar Moon Phases,Patek Philippe Annual Calendar Moon Phases,5396R / 5396J - wariant do potwierdzenia,rozpoznanie wysokiej pewno?ci po uk?adzie apertur annual calendar i fazie ksi??yca; metal wymaga potwierdzenia,"lata 2006+, rocznik do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","r??owe lub ???te z?oto, pasek aligatorowy, tarcza z kalendarzem rocznym",komplikowany dress watch,"Patek Philippe Annual Calendar 5396 z faz? ksi??yca to elegancki zegarek komplikowany, w kt?rym kalendarz roczny podano w wyj?tkowo czytelnym, klasycznym uk?adzie.","Trzy okna kalendarza i faza ksi??yca tworz? tarcz?, kt?ra wygl?da spokojnie mimo bardzo praktycznej komplikacji.","Patek Philippe wprowadzi? kalendarz roczny w 1996 roku, upraszczaj?c codzienne korzystanie z komplikacji kalendarzowych. Referencja 5396 rozwija ten pomys? w estetyce inspirowanej zegarkami z po?owy XX wieku: dzie? i miesi?c w oknach pod godzin? 12, faza ksi??yca i data na osi dolnej oraz klasyczna koperta na pasku.",dost?pny,cena na zapytanie,3,https://www.patek.com/en/collection/complications/5396R-011 | https://www.patek.com/en/collection/complications,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
piaget,Piaget,Possession,Piaget Possession,do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; dok?adna ref. wymaga dekla/dokument?w,do potwierdzenia; wsp??czesna linia Possession 29 mm,"dobry / bardzo dobry, widoczne drobne ?lady na bezelu","bia?y metal szlachetny lub stal, diament, bia?y pasek sk?rzany",bi?uteryjny zegarek damski,Piaget Possession z bia?ym paskiem i obrotowym pier?cieniem to minimalistyczna bi?uteria zegarkowa z jednym diamentowym akcentem.,"W Possession najwa?niejszy jest ruch pier?cienia - ma?y, dotykowy gest, kt?ry odr??nia zegarek od klasycznej bi?uterii.","Possession przenosi motyw obrotowego pier?cienia z bi?uterii Piageta do zegarka. Oszcz?dna tarcza, mi?kka koperta i ruchomy detal z diamentem tworz? przedmiot bli?szy luksusowej bransolecie ni? klasycznemu zegarkowi narz?dziowemu.",dost?pny,cena na zapytanie,2,https://www.piaget.com/us-en/watches/possession/white-gold-diamond-watch-g0a44298 | https://www.chrono24.com/piaget/possession-watch-diamond-mother-of-pearl-29mm-g0a45092--id46004316.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
rado-centrix-automatic-blue,Rado,Centrix Automatic Blue Dial,Rado Centrix Automatic Blue Dial,R30030 / wariant do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; referencja zale?y od ?rednicy i bransolety,"lata 2010-2020, do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna i ceramika high-tech, niebieska tarcza, bransoleta",nowoczesny zegarek codzienny,"Rado Centrix Automatic z niebiesk? tarcz? ??czy smuk?? kopert? z ceramiczn? bransolet? i spokojnym, wsp??czesnym charakterem.",Centrix pokazuje specjalno?? Rado: luksus codzienny oparty bardziej na materiale i wygodzie ni? na ostentacji.,"Rado od lat buduje to?samo?? wok?? ceramiki high-tech i odpornych materia??w. Centrix jest jedn? z najbardziej uniwersalnych linii marki: zw??aj?ca si? bransoleta, prosta tarcza i automatyczny mechanizm daj? zegarek ?atwy do noszenia na co dzie?, a niebieski kolor dodaje mu bardziej wsp??czesnej prezencji.",dost?pny,cena na zapytanie,2,https://www.rado.com/ | https://www.rado.com/en_us/centrix.html,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
rolex-daytona-panda,Rolex,Cosmograph Daytona White Dial,Rolex Cosmograph Daytona White Dial,116500LN - do potwierdzenia,"rozpoznanie wysokiej pewno?ci po bia?ej tarczy, czarnym ceramicznym bezele i uk?adzie wsp??czesnej Daytony","2016-2023, rocznik egzemplarza do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","stal Oystersteel, czarny ceramiczny bezel Cerachrom, bransoleta Oyster",ikoniczny chronograf sportowy,Rolex Cosmograph Daytona 116500LN z bia?? tarcz? to jeden z najbardziej po??danych stalowych chronograf?w wsp??czesnego rynku luksusowego.,"Kontrast bia?ej tarczy i czarnego bezela da? Daytonie przydomek, kt?ry natychmiast sta? si? j?zykiem kolekcjoner?w.","Daytona powsta?a jako chronograf dla kierowc?w wy?cigowych, a wsp??czesna referencja 116500LN wprowadzi?a czarny ceramiczny bezel Cerachrom do stalowej wersji. Model korzysta z automatycznego kalibru 4130, ma skal? tachymetryczn? na lunecie i uk?ad licznik?w, kt?ry sta? si? jednym z najwa?niejszych kod?w wizualnych Rolexa.",dost?pny,cena na zapytanie,3,https://www.rolex.com/watches/cosmograph-daytona | https://www.chrono24.com/rolex/ref-116500ln.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
rolex-datejust-vintage-czarna-tarcza,Rolex,Datejust 36 Two-Tone Black Diamond Dial,Rolex Datejust 36 Two-Tone Black Diamond Dial,16233 / 16013 - wariant do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; dok?adna referencja zale?y od rocznika i kalibru,"lata 1980-1990, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","stal i ???te z?oto, bransoleta Jubilee, czarna tarcza z indeksami diamentowymi",vintage Datejust bi?uteryjny,"Rolex Datejust 36 w Rolesorze, z czarn? tarcz? i diamentowymi indeksami, ??czy codzienny format Rolexa z wyra?nie bi?uteryjnym akcentem.","Czarna tarcza uspokaja z?oto, a diamentowe indeksy zostawiaj? zegarkowi dok?adnie tyle blasku, ile potrzeba.","Dwukolorowe Datejusty z bransolet? Jubilee sta?y si? jednym z najbardziej rozpoznawalnych zegark?w ko?ca XX wieku. Wariant z czarn? tarcz? i indeksami diamentowymi jest bardziej wieczorowy, ale zachowuje praktyczno?? automatycznego zegarka z dat?, wodoodporn? kopert? Oyster i bezelem z ???tego z?ota.",dost?pny,cena na zapytanie,4,https://www.rolex.com/watches/datejust | https://www.chrono24.com/rolex/ref-16233.htm | https://www.chrono24.com/rolex/ref-16013.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
rolex-datejust-36-yellow-gold-blue-dial,Rolex,Datejust 36 Yellow Gold Blue Dial,Rolex Datejust 36 Yellow Gold Blue Dial,16018 / 16238 - wariant do potwierdzenia,"rozpoznanie Datejust wysokiej pewno?ci; referencja wymaga sprawdzenia dekla, bransolety i kalibru","lata 1980-1990, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","???te z?oto, niebieska tarcza, pasek sk?rzany",klasyczny Datejust w z?ocie,"Rolex Datejust 36 w ???tym z?ocie i z niebiesk? tarcz? to klasyczny zegarek codzienny w bardziej presti?owej, vintage?owej ods?onie.",Niebieska tarcza na tle ???tego z?ota daje Datejustowi ton bardziej klubowy ni? biurowy.,"Datejust jest jednym z fundament?w katalogu Rolexa od 1945 roku. Wersje 36 mm ze z?ot? kopert?, karbowanym bezelem i datownikiem pod lup? Cyclops pozostaj? najbardziej rozpoznawalnym symbolem eleganckiego zegarka codziennego. Egzemplarz na pasku sk?rzanym ma l?ejszy charakter ni? konfiguracja na bransolecie President lub Jubilee.",dost?pny,cena na zapytanie,3,https://www.rolex.com/watches/datejust | https://www.chrono24.com/rolex/ref-16018.htm | https://www.chrono24.com/rolex/ref-16238.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
rolex-datejust-41-everose-sundust,Rolex,Datejust 41 Everose Rolesor,Rolex Datejust 41 Everose Rolesor,126331 - do potwierdzenia,"rozpoznanie wysokiej pewno?ci po proporcjach Datejust 41, Jubilee, karbowanym bezele i kolorystyce Everose Rolesor","ok. 2016+, rocznik egzemplarza do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","stal Oystersteel i r??owe z?oto Everose, bransoleta Jubilee, tarcza sundust/srebrna",nowoczesny zegarek elegancki,"Rolex Datejust 41 Everose Rolesor z tarcz? sundust ??czy klasyczn? architektur? Datejusta z cieplejszym, wsp??czesnym tonem r??owego z?ota.","Everose Rolesor sprawia, ?e Datejust 41 jest bardziej mi?kki wizualnie, ale nadal pozostaje jednym z najbardziej czytelnych symboli Rolexa.","Wsp??czesny Datejust 41 zachowuje najwa?niejsze znaki linii: dat?, lup? Cyclops, karbowany bezel i bransolet? Jubilee. Referencja 126331 ??czy stal Oystersteel z 18-karatowym z?otem Everose, a mechanizm generacji 3235 zapewnia oko?o 70 godzin rezerwy chodu i certyfikacj? Superlative Chronometer.",dost?pny,cena na zapytanie,3,https://www.rolex.com/watches/datejust/m126331-0016 | https://www.rolex.com/watches/datejust,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
rolex-sky-dweller,Rolex,Sky-Dweller Black Dial,Rolex Sky-Dweller Black Dial,326934 - do potwierdzenia,"rozpoznanie wysokiej pewno?ci po uk?adzie Sky-Dweller, karbowanym bezele i czarnej tarczy","2017+, rocznik egzemplarza do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","Oystersteel i bia?e z?oto, bransoleta Oyster, czarna tarcza",luksusowy zegarek podr??ny,"Rolex Sky-Dweller 326934 z czarn? tarcz? to zegarek podr??ny z rocznym kalendarzem, drug? stref? czasu i charakterystycznym systemem Ring Command.","Sky-Dweller ukrywa jedn? z najbardziej praktycznych komplikacji Rolexa w formie, kt?ra z daleka wygl?da jak klasyczny model z karbowanym bezelem.","Sky-Dweller zosta? zaprezentowany jako najbardziej komplikowany wsp??czesny Rolex: ??czy czas lokalny, czas domowy w 24-godzinnym pier?cieniu oraz kalendarz roczny Saros. W wersji 326934 stalowa koperta wsp??pracuje z bezelem z bia?ego z?ota, a obs?uga funkcji odbywa si? przez obracany bezel Ring Command.",dost?pny,cena na zapytanie,4,https://www.rolex.com/watches/sky-dweller | https://www.chrono24.com/rolex/ref-326934.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
rolex-yacht-master-40-yellow-gold-blue-dial,Rolex,Yacht-Master 40 Yellow Gold Blue Dial,Rolex Yacht-Master 40 Yellow Gold Blue Dial,16628 - do potwierdzenia,rozpoznanie wst?pne na podstawie zdj?? bocznych; brak zdj?cia frontu obni?a pewno?? wariantu tarczy,"lata 1990-2000, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj?? bocznych","???te z?oto, bransoleta Oyster, niebieska tarcza prawdopodobna",luksusowy zegarek ?eglarski,"Rolex Yacht-Master 40 w ???tym z?ocie to bardziej luksusowa interpretacja sportowego zegarka Oyster, z charakterystycznym bezelem regatowym.","Yacht-Master wygl?da jak zegarek na pok?ad, ale w z?ocie m?wi przede wszystkim j?zykiem luksusowego stylu ?ycia.","Yacht-Master zadebiutowa? w 1992 roku jako elegantsza, jachtowa alternatywa dla typowo narz?dziowego Submarinera. Referencja 16628 w ???tym z?ocie nale?y do pierwszej generacji modelu i ma bezel z wypuk?ymi cyframi oraz pe?noz?ot? bransolet? Oyster. Poniewa? w paczce s? tylko zdj?cia boczne, tarcz? i wariant nale?y potwierdzi? przed publikacj?.",dost?pny,cena na zapytanie,2,https://www.rolex.com/watches/yacht-master | https://www.chrono24.com/rolex/ref-16628.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
tag-heuer,TAG Heuer,Grand Carrera Calibre 36 RS2 Caliper Chronograph Ti2,TAG Heuer Grand Carrera Calibre 36 RS2 Caliper Chronograph Ti2,CAV5186.FC6304,rozpoznanie wysokiej pewno?ci na podstawie tarczy i uk?adu Caliper,"oko?o 2012-2013, do potwierdzenia","dobry / bardzo dobry, widoczne drobne ?lady u?ytkowania","tytan PVD, pasek sk?rzany",wy?cigowy chronograf wysokiej cz?stotliwo?ci,TAG Heuer Grand Carrera CAV5186.FC6304 to tytanowy chronograf Calibre 36 z systemem Caliper do odczytu 1/10 sekundy.,"Calibre 36 bazuje na idei wysokiej cz?stotliwo?ci 36 000 wahni?? na godzin?, dzi?ki czemu chronograf mo?e mierzy? dziesi?te cz??ci sekundy.","Grand Carrera Calibre 36 RS2 by? pokazem technicznej strony TAG Heuera: zamiast klasycznych licznik?w wykorzystano system Rotating System i skal? Caliper, inspirowane desk? rozdzielcz? samochodu GT. Mechanizm Calibre 36 pracuje z wysok? cz?stotliwo?ci?, podkre?laj?c sportowy rodow?d marki.",dost?pny,cena na zapytanie,3,https://www.chrono24.com/tagheuer/grand-carrera-calibre-36-rs-2-caliper-chronograph-ti2-limited-edition-cav5186fc6304-full-set-mit-garantie-occasion-refurbished--id45796109.htm | https://www.jurawatches.co.uk/products/tag-heuer-watch-grand-carrera-automatic-chronograph-cav5186-fc6304-tag-347,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
vacheron-constantin-malte-diamond,Vacheron Constantin,Malte Diamond,Vacheron Constantin Malte Diamond,do potwierdzenia,rozpoznanie jako linia Malte / tonneau wysokiej pewno?ci; dok?adna referencja wymaga potwierdzenia po deklu,"lata 2000-2010, do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","z?oto lub bia?e z?oto, diamenty, tarcza guilloche, pasek sk?rzany",jubilerski dress watch,"Vacheron Constantin Malte Diamond ??czy kszta?t tonneau, giloszowan? tarcz? i dyskretn? opraw? diamentow? w klasycznym zegarku wieczorowym.","Tonneau Vacherona ma w sobie mi?kko?? bi?uterii, ale zachowuje porz?dek tradycyjnego zegarmistrzostwa genewskiego.","Kolekcja Malte jest jedn? z linii, w kt?rych Vacheron Constantin rozwija? nieokr?g?e koperty i bardziej dekoracyjne wyko?czenia. Egzemplarz ze zdj?? ma wyd?u?on? kopert? tonneau, diamentowe boki, rzymskie cyfry 12 i 6 oraz giloszowan? tarcz?, co lokuje go po stronie eleganckich, jubilerskich modeli maison.",dost?pny,cena na zapytanie,3,https://www.vacheron-constantin.com/ | https://www.chrono24.com/vacheronconstantin/malte.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
wyler-geneva,Wyler Gen?ve,Code-R Chronograph,Wyler Gen?ve Code-R Chronograph,100.1 / 100.4 family - do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; dok?adny wariant wymaga dekla,"oko?o 2008-2009, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","tytan/stal i materia?y kompozytowe, gumowy pasek",awangardowy chronograf sportowy,"Wyler Gen?ve Code-R Chronograph to masywny, techniczny chronograf z amortyzowan? konstrukcj? Incaflex i niebieskim paskiem gumowym.","Code-R wygl?da jak zegarek zbudowany wok?? koperty - ?ruby, mostki i amortyzacja s? tu cz??ci? j?zyka projektu.","Wyler Gen?ve wskrzesi? system Incaflex w nowoczesnej, bardzo du?ej kopercie Code-R. Chronografy tej serii cz?sto korzysta?y z automatycznych kalibr?w ETA 2894-2, mia?y dat?, 100 m wodoszczelno?ci i konstrukcj? zaprojektowan? tak, by eksponowa? techniczny charakter zegarka.",dost?pny,cena na zapytanie,3,https://www.orologidiclasse.com/catalogo-orologi/wyler-geneve/code-r-chronograph/5081/ | https://superwatchman.com/wyler-geneve/code-r-chronograph-red-dial/,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
